prompt,A,B,C,D,E,answer
Who was responsible for the reorganisation of New Army reserve units during the First World War?,Territorial brigades,First line divisions,Training Reserve,Second line divisions,British home army,C
What film earned Rakshit Shetty the Karnataka State Film Award for Director's First Time Best Film?,Rakshit Shetty did not win the Karnataka State Film Award for Director's First Time Best Film,Nam Areal Ondina,Ulidavaru Kandanthe,The information is not provided in the Wikipedia excerpt,Simple Agi Ondh Love Story,C
What is the population of Maklavan?,"Maklavan has a population of 5,000 individuals, according to the 2006 census.","Maklavan has a population of 1,500 individuals, according to the 2006 census.","Maklavan has a population of 2,800 individuals, according to the 2006 census.","Maklavan has a population of 3,800 individuals, according to the 2006 census.","Maklavan has a population of 2,170 individuals, according to the 2006 census.",E
Who was awarded the 1954 Birthday Honours for political and public services in Surrey?,Walter Eric Thomas,Arthur Campbell Rymill,None of the above,Thomas James Young Roxburgh,John Henry Wenham,E
"Which disorder is characterized by the intravascular precipitation of fibrinogen, fibrin, and other circulating proteins?",Cryofibrinogenemia,Thrombocytopenia,Von Willebrand disease,Hemophilia A,Congenital hypodysfibrinogenemia,A
"According to Dimitris Liantinis, what did he suggest the Greeks should do regarding philosophy after Aristotle?",Liantinis suggested that the Greeks should continue to philosophize and expand on the teachings of Aristotle.,Liantinis suggested that the Greeks should stop philosophizing after Aristotle as a sign of honesty.,Liantinis suggested that the Greeks should study philosophy from other cultures and abandon the teachings of Aristotle.,Liantinis suggested that the Greeks should prioritize the study of modern philosophies rather than ancient Greek philosophies.,Liantinis suggested that the Greeks should focus on studying the philosophies of ancient civilizations other than Greece.,B
What is a key feature of the Griffon Hoverwork BHT130 hovercraft?,It has the first welded aluminium hull fabricated by Aluminium Ship Builders.,It was found to be unsuitable and was withdrawn from service after 4 years.,It was designed and fitted out in St Helens.,It arrived at Hoverwork's St Helens works in August 2005.,It has a medium-size design and can accommodate up to 130 passengers.,A
What happened to Tarun Tejpal after being accused of sexual assault by a female colleague?,"Tarun Tejpal was suspended from his duties at Tehelka magazine, pending an investigation into the allegations.",Tarun Tejpal continued to hold his position as editor-in-chief of Tehelka magazine despite the allegations.,Tarun Tejpal denied the allegations and took legal action against his accuser.,Tarun Tejpal was immediately terminated from his position as editor-in-chief of Tehelka magazine.,Tarun Tejpal resigned from his position as editor-in-chief of Tehelka magazine and was later arrested.,E
"Which golfer accomplished a feat last achieved on the LPGA Tour in 2008 by Lorena Ochoa, winning three consecutive majors in a single season?",Lorena Ochoa,None of the above,Inbee Park,Babe Zaharias,A different golfer not mentioned in the excerpt,C
What was one of the methods used in the initial phase of the Straight program to demonstrate to patients that they had lost control of their lives?,Patients were required to carry a specific object at all times to remind them of their lack of control.,Patients were assigned strict routines and schedules to emphasize their loss of control.,Patients were not allowed to talk to their parents and were guided by their belt loops to signify their loss of control.,Patients were required to wear a special uniform to symbolize their loss of control.,Patients were only allowed to communicate with their peers and not with their parents.,C
How does the interpretation centre Janki Van contribute to tourists' knowledge and experience?,"The interpretation centre provides complete information about the plants and tribal culture, as well as knowledge of Ayurveda and Yoga.",The interpretation centre showcases a collection of rare artwork and artifacts.,The interpretation centre offers a variety of recreational activities for tourists to enjoy.,The interpretation centre provides a guided tour of the nearby wildlife sanctuary.,The interpretation centre offers workshops on sustainable gardening techniques.,A
